HGNC ID	Approved symbol	Approved name	RefSeq IDs	Gene group ID
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)		
HGNC:21298	AACS	acetoacetyl-CoA synthetase	NM_023928	40
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	NR_024035	
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)		
HGNC:17	AADAC	arylacetamide deacetylase	NM_001086	464|465
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	NM_207365	465
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1		1987
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	NM_001103170	465
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	NM_001013630	465
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1		
HGNC:17929	AADAT	aminoadipate aminotransferase	NM_016228	
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	NM_024666	
HGNC:19679	AAK1	AP2 associated kinase 1	NM_014911	1835
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	NM_024684	
HGNC:18	AAMP	angio associated migratory cell protein	NM_001087	362
HGNC:19	AANAT	aralkylamine N-acetyltransferase	NM_001088	1134
HGNC:15886	AAR2	AAR2 splicing factor	NM_015511	
HGNC:33842	AARD	alanine and arginine rich domain containing protein	NM_001025357	
HGNC:20	AARS1	alanyl-tRNA synthetase 1	NM_001605	132
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1		
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	NM_020745	132
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	NM_001261434	
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1		
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	NM_181806	40
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	NM_015423	
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	NM_005763	
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	NR_026961	1992
HGNC:19235	AATF	apoptosis antagonizing transcription factor	NM_012138	1691
HGNC:21	AATK	apoptosis associated tyrosine kinase	NM_004920	694|321|1691
HGNC:22	AAVS1	adeno-associated virus integration site 1		
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	NR_131907	1992
HGNC:23	ABAT	4-aminobutyrate aminotransferase	NM_020686	
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)		
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)		
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)		
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)		
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)		
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	NM_005502	805
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	NM_001606	805
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	NM_001089	805
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	NG_022511	
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	NM_000350	805
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	NM_018672	805
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	NM_080284	805|1691
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	NM_019112	805
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	NM_007168	805
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	NM_172386	805
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		1987
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	NM_080282	805
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	NR_002451.2	805
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	NM_173076	805
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	NM_152701	805
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	NR_026675	
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	NR_003574	805
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	NM_000927	806|471
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)		
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)		
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	NM_000443	806
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	NM_178559	806
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	NM_005689	806|454
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	NM_004299	806
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	NM_007188	806
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	NM_019624	806
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	NM_012089	806
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	NG_005041	
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)		
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	NG_022122	
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	NG_022102	
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	NM_003742	806
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	NM_004996	807
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	NM_000392	807
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	NM_020038	807
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	NM_005845	807
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	NM_005688	807
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		1987
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6		807
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	NR_003569	
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	NR_023387	
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)		
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	NM_000352	807
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	NM_005691	807
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	NM_033450	807|1691
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	NM_032583	807
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	NM_033226	807
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		807
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	NM_000033	808
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	NM_005164	808
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	NM_002858	808|1062
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	NM_005050	808
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	NM_002940	809
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1		810|1691
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript		1990
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	NM_005692	810
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough		
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	NM_018358	810
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	NM_207174	811
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	NM_004827	811|454|471
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	NM_022169	811
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	NM_022436	811
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	NM_022437	811
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)		
HGNC:17553	ABHD1	abhydrolase domain containing 1	NM_032604	4
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase		4
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase		4
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		4
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	NM_016006	4
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	NM_020676	4
HGNC:23759	ABHD8	abhydrolase domain containing 8	NM_024527	4
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	NM_018394	4
HGNC:16407	ABHD11	abhydrolase domain containing 11		4
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2		
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	NM_015600	4
HGNC:19837	ABHD12B	abhydrolase domain containing 12B		4
HGNC:20293	ABHD13	abhydrolase domain containing 13	NM_032859	4
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	NM_015407	4
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	NM_032750	4
HGNC:26971	ABHD15	abhydrolase domain containing 15	NM_198147	4
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		1987
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase		4|1691
HGNC:16128	ABHD16B	abhydrolase domain containing 16B		4
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	NM_031213	4|1749
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	NG_011738	
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)		
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	XR_041784	
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4		
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5		
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6		
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7		
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8		
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9		
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	NM_016014	4|1749
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	NM_021214	4|1749
HGNC:26111	ABHD18	abhydrolase domain containing 18	NM_001039717	4
HGNC:11320	ABI1	abl interactor 1	NM_005470	
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	NG_002531	
HGNC:24011	ABI2	abl interactor 2	NM_005759	1793
HGNC:29859	ABI3	ABI family member 3	NM_016428	
HGNC:17265	ABI3BP	ABI family member 3 binding protein		555
HGNC:1364	ABITRAM	actin binding transcription modulator	NM_017832	
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	NG_011392	
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_007313	741|1463
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	NM_005158	741|1463
HGNC:78	ABLIM1	actin binding LIM protein 1		1218
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	NM_001130083	1218|1691
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	NM_014945	1218
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	NM_020469	429|454
HGNC:81	ABR	ABR activator of RhoGEF and GTPase		823|722|1691|682
HGNC:55674	ABR-AS1	ABR antisense RNA 1		1987
HGNC:30655	ABRA	actin binding Rho activating protein	NM_139166	
HGNC:21230	ABRACL	ABRA C-terminal like	NM_021243	
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	NM_139076	1328
HGNC:56461	ABRAXAS1P1	ABRAXAS1 pseudogene 1	NG_025605	
HGNC:56462	ABRAXAS1P2	ABRAXAS1 pseudogene 2	NG_022380	
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	NM_032182	1375
HGNC:17369	ABT1	activator of basal transcription 1		1484
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	NG_025142	
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	NM_172027	861|403
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	NM_145804	403|861
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	NM_152322	861|403
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	NM_001607	
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	NM_006111	
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1		
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	NM_198836	
HGNC:85	ACACB	acetyl-CoA carboxylase beta	NM_001093	
HGNC:86	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)		
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	NM_014384	974
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	NM_014049	1387|974
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript		1990
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	NM_025247	974
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	NM_032169	974
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	NM_001608	974
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		974
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	NM_000017	974
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609	974
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018	974
HGNC:319	ACAN	aggrecan	NM_001135	1179|574|590|1298
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	NM_014716	1291|403|395
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	NM_012287	1291|403|395
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1		1989
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	NM_030649	1291|403|1691|395
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	NM_000019	
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	NM_005891	
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	NM_022735	396
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	NR_146443	1987
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	NM_024722	
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	NM_145698	
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	NM_032360	403|1691
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		
HGNC:96	ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)		
HGNC:97	ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)		
HGNC:98	ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)		
HGNC:14594	ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)		
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	NM_032592	
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	NM_001031854	
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	NM_022914	1334
HGNC:2707	ACE	angiotensin I converting enzyme	NM_000789	471
HGNC:13557	ACE2	angiotensin converting enzyme 2		
HGNC:56255	ACE2-DT	ACE2 divergent transcript	NR_126564	1990
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene		
HGNC:18356	ACER1	alkaline ceramidase 1	NM_133492	400
HGNC:23675	ACER2	alkaline ceramidase 2	NM_001010887	400
HGNC:54674	ACER2P1	ACER2 pseudogene 1	NG_030142	
HGNC:16066	ACER3	alkaline ceramidase 3	NM_018367	400
HGNC:106	ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)		
HGNC:107	ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)		
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	NM_015831	454
HGNC:109	ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)		
HGNC:110	ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)		
HGNC:111	ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)		
HGNC:112	ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)		
HGNC:113	ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)		
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	NM_014977	1236
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	NM_002036	454|471|1090
HGNC:1565	ACKR2	atypical chemokine receptor 2	NM_001296	1090
HGNC:23692	ACKR3	atypical chemokine receptor 3	NM_020311	1090
HGNC:1611	ACKR4	atypical chemokine receptor 4	NM_016557	1090
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	XM_208346	
HGNC:114	ACLS	acrocallosal syndrome		
HGNC:115	ACLY	ATP citrate lyase	NM_001096	
HGNC:116	ACMG	acromegaly		
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		1691
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene		
HGNC:117	ACO1	aconitase 1	NM_002197	
HGNC:118	ACO2	aconitase 2	NM_001098	
HGNC:33904	ACOD1	aconitate decarboxylase 1	NM_001258406	
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	NM_001037161	41
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	NM_006821	41
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	NM_152331	41
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	NM_001037162	41
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	NM_007274	41
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	NM_183386	41
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	NM_012332	41
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	NM_015547	41|759
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	NM_130767	41|759
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	NM_018473	41
HGNC:119	ACOX1	acyl-CoA oxidase 1		
HGNC:120	ACOX2	acyl-CoA oxidase 2	NM_003500	
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		
HGNC:25621	ACOXL	acyl-CoA oxidase like	NM_018308	
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	NR_122074	1987
HGNC:122	ACP1	acid phosphatase 1	NM_004300	1071|712
HGNC:123	ACP2	acid phosphatase 2, lysosomal	NM_001610	1071
HGNC:125	ACP3	acid phosphatase 3	NM_001099	1071
HGNC:14376	ACP4	acid phosphatase 4	NM_033068	1071
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant		1071
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	NM_016361	1071
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	NM_001004318	1071
HGNC:126	ACR	acrosin	NM_001097	
HGNC:17195	ACRBP	acrosin binding protein	NM_032489	1492
HGNC:54745	ACRP1	ACR pseudogene 1	NG_021518	
HGNC:127	ACRV1	acrosomal vesicle protein 1	NM_001612	
HGNC:128	ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)		
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	NM_015162	40
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	NM_030924	40
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	NM_025149	40
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	NM_174917	40
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	NM_001995	40
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	NM_004457	40
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1		1987
HGNC:56529	ACSL3P1	ACSL3 pseudogene 1	NG_025745	
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	NM_004458	40
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	NM_016234	40
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	NM_015256	40
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1		1987
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	NM_052956	40
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	NM_001308172	40
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	NM_182617	40
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	NM_005622	40
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	NM_001080454	40
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	NM_017888	40
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	NG_026352	
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	NM_207321	40
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	NM_032501	40
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	NM_018677	40
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	NM_024560	40|1691
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	NM_001100	929
HGNC:130	ACTA2	actin alpha 2, smooth muscle	NM_001613	929
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	NR_125373	1987
HGNC:131	ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)		
HGNC:132	ACTB	actin beta	NM_001101	929|1605|1604|1606
HGNC:17780	ACTBL2	actin beta like 2	NM_001017992	929
HGNC:134	ACTBP1	ACTB pseudogene 1	NG_022596	
HGNC:135	ACTBP2	ACTB pseudogene 2	NG_003019	
HGNC:136	ACTBP3	ACTB pseudogene 3		
HGNC:137	ACTBP4	ACTB pseudogene 4		
HGNC:138	ACTBP5	actin, beta pseudogene 5		
HGNC:139	ACTBP6	ACTB pseudogene 6	NG_008793	
HGNC:140	ACTBP7	ACTB pseudogene 7		
HGNC:141	ACTBP8	ACTB pseudogene 8	NG_000840	
HGNC:142	ACTBP9	ACTB pseudogene 9	NG_003162	
HGNC:31819	ACTBP10	ACTB pseudogene 10		
HGNC:33971	ACTBP11	ACTB pseudogene 11		
HGNC:150	ACTBP12	ACTB pseudogene 12	NG_026958	
HGNC:45086	ACTBP14	ACTB pseudogene 14	NG_022182	
HGNC:55065	ACTBP15	ACTB pseudogene 15		
HGNC:56590	ACTBP16	ACTB pseudogene 16	NG_022284	
HGNC:143	ACTC1	actin alpha cardiac muscle 1	NM_005159	929
HGNC:51491	ACTE1P	actin epsilon 1, pseudogene		
HGNC:144	ACTG1	actin gamma 1	NM_001614	929
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	NG_001068	
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	NG_004636	
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	NG_000842	
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4		
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6		
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7		
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8		
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	NG_001069	
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	NG_003039	
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11	NG_004636	
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12		
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13		
HGNC:49751	ACTG1P14	actin gamma 1 pseudogene 14	NG_023870	
HGNC:51495	ACTG1P15	actin gamma 1 pseudogene 15		
HGNC:51496	ACTG1P16	actin gamma 1 pseudogene 16		
HGNC:51497	ACTG1P17	actin gamma 1 pseudogene 17		
HGNC:51498	ACTG1P18	actin gamma 1 pseudogene 18		
HGNC:51499	ACTG1P19	actin gamma 1 pseudogene 19		
HGNC:51500	ACTG1P20	actin gamma 1 pseudogene 20		
HGNC:51501	ACTG1P21	actin gamma 1 pseudogene 21		
